YEAR,PICK,ROUND,TEAM,PLAYER,AGE,BORN,COLLEGE
2018,1,1,PHO,Deandre Ayton,19.338,bs,University of Arizona
2018,2,1,SAC,Marvin Bagley,19.104,us,Duke University
2018,3,1,ATL,Luka Doncic,19.118,si,
2018,4,1,MEM,Jaren Jackson,18.284,us,Michigan State University
2018,5,1,DAL,Trae Young,19.28,us,University of Oklahoma
2018,6,1,ORL,Mohamed Bamba,20.045,us,University of Texas at Austin
2018,7,1,CHI,Wendell Carter,19.071,us,Duke University
2018,8,1,CLE,Collin Sexton,19.173,us,University of Alabama
2018,9,1,NYK,Kevin Knox,18.319,us,University of Kentucky
2018,10,1,PHI,Mikal Bridges,21.3,us,Villanova University
2018,11,1,CHO,Shai Gilgeous-Alexander,19.349,ca,University of Kentucky
2018,12,1,LAC,Miles Bridges,20.097,us,Michigan State University
2018,13,1,LAC,Jerome Robinson,21.124,us,Boston College
2018,14,1,DEN,Michael Porter,19.362,us,University of Missouri
2018,15,1,WAS,Troy Brown,18.333,us,University of Oregon
2018,16,1,PHO,Zhaire Smith,19.022,us,Texas Tech University
2018,17,1,MIL,Donte DiVincenzo,21.146,us,Villanova University
2018,18,1,SAS,Lonnie Walker,19.194,us,University of Miami
2018,19,1,ATL,Kevin Huerter,19.303,us,University of Maryland
2018,20,1,MIN,Josh Okogie,19.298,ng,Georgia Institute of Technology
2018,21,1,UTA,Grayson Allen,22.262,us,Duke University
2018,22,1,CHI,Chandler Hutchison,22.061,us,Boise State University
2018,23,1,IND,Aaron Holiday,21.269,us,"University of California, Los Angeles"
2018,24,1,POR,Anfernee Simons,19.018,us,
2018,25,1,LAL,Moritz Wagner,21.061,de,University of Michigan
2018,26,1,PHI,Landry Shamet,21.105,us,Wichita State University
2018,27,1,BOS,Robert Williams,20.252,us,Texas A&M University
2018,28,1,GSW,Jacob Evans,21.008,us,University of Cincinnati
2018,29,1,BRK,Dzanan Musa,19.049,ba,
2018,30,1,ATL,Omari Spellman,20.34,us,Villanova University
2018,31,2,PHO,Elie Okobo,20.246,fr,
2018,32,2,MEM,Jevon Carter,22.286,us,West Virginia University
2018,33,2,DAL,Jalen Brunson,21.299,us,Villanova University
2018,34,2,ATL,Devonte' Graham,23.125,us,University of Kansas
2018,35,2,ORL,Melvin Frazier,21.3,us,Tulane University
2018,36,2,NYK,Mitchell Robinson,20.086,us,
2018,37,2,SAC,Gary Trent,19.159,us,Duke University
2018,38,2,PHI,Khyri Thomas,22.049,us,Creighton University
2018,39,2,PHI,Isaac Bonga,18.23,de,
2018,40,2,BRK,Rodions Kurucs,20.141,lv,
2018,41,2,ORL,Jarred Vanderbilt,19.084,us,University of Kentucky
2018,42,2,DET,Bruce Brown,21.315,us,University of Miami
2018,43,2,DEN,Justin Jackson,21.128,ca,University of Maryland
2018,44,2,WAS,Issuf Sanon,18.239,ua,
2018,45,2,BRK,Hamidou Diallo,19.33,us,University of Kentucky
2018,46,2,HOU,De'Anthony Melton,20.029,us,University of Southern California
2018,47,2,LAL,Sviatoslav Mykhailiuk,21.016,ua,University of Kansas
2018,48,2,MIN,Keita Bates-Diop,22.155,us,Ohio State University
2018,49,2,SAS,Chimezie Metu,21.096,us,University of Southern California
2018,50,2,IND,Alize Johnson,22.065,us,Missouri State
2018,51,2,NOP,Tony Carr,20.258,us,Pennsylvania State University
2018,52,2,UTA,Vince Edwards,22.082,us,Purdue University
2018,53,2,OKC,Devon Hall,22.355,us,University of Virginia
2018,54,2,DAL,Shake Milton,21.273,us,Southern Methodist University
2018,55,2,CHO,Arnoldas Kulboka,20.173,lt,
2018,56,2,PHI,Ray Spalding,21.107,us,University of Louisville
2018,57,2,OKC,Kevin Hervey,21.352,us,University of Texas at Arlington
2018,58,2,DEN,Thomas Welsh,22.144,us,"University of California, Los Angeles"
2018,59,2,PHO,George King,24.163,us,University of Colorado
2018,60,2,PHI,Kostas Antetokounmpo,20.218,gr,University of Dayton
2017,1,1,PHI,Markelle Fultz,19.029,us,University of Washington
2017,2,1,LAL,Lonzo Ball,19.243,us,"University of California, Los Angeles"
2017,3,1,BOS,Jayson Tatum,19.116,us,Duke University
2017,4,1,PHO,Josh Jackson,20.137,us,University of Kansas
2017,5,1,SAC,De'Aaron Fox,19.189,us,University of Kentucky
2017,6,1,ORL,Jonathan Isaac,19.267,us,Florida State University
2017,7,1,MIN,Lauri Markkanen,20.036,fi,University of Arizona
2017,8,1,NYK,Frank Ntilikina,18.334,be,
2017,9,1,DAL,Dennis Smith,19.214,us,North Carolina State University
2017,10,1,SAC,Zach Collins,19.22,us,Gonzaga University
2017,11,1,CHO,Malik Monk,19.143,us,University of Kentucky
2017,12,1,DET,Luke Kennard,21.003,us,Duke University
2017,13,1,DEN,Donovan Mitchell,20.293,us,University of Louisville
2017,14,1,MIA,Bam Adebayo,19.344,us,University of Kentucky
2017,15,1,POR,Justin Jackson,22.092,us,University of North Carolina
2017,16,1,CHI,Justin Patton,20.013,us,Creighton University
2017,17,1,MIL,D.J. Wilson,21.129,us,University of Michigan
2017,18,1,IND,T.J. Leaf,20.058,il,"University of California, Los Angeles"
2017,19,1,ATL,John Collins,19.277,us,Wake Forest University
2017,20,1,POR,Harry Giles,19.066,us,Duke University
2017,21,1,OKC,Terrance Ferguson,19.041,us,
2017,22,1,BRK,Jarrett Allen,19.067,us,University of Texas at Austin
2017,23,1,TOR,OG Anunoby,19.345,gb,Indiana University
2017,24,1,UTA,Tyler Lydon,21.079,us,Syracuse University
2017,25,1,ORL,Anzejs Pasecniks,21.19,lv,
2017,26,1,POR,Caleb Swanigan,20.07,us,Purdue University
2017,27,1,BRK,Kyle Kuzma,21.339,us,University of Utah
2017,28,1,LAL,Tony Bradley,19.17,us,University of North Carolina
2017,29,1,SAS,Derrick White,22.361,us,University of Colorado
2017,30,1,UTA,Josh Hart,22.114,us,Villanova University
2017,31,2,CHO,Frank Jackson,19.054,us,Duke University
2017,32,2,PHO,Davon Reed,22.017,us,University of Miami
2017,33,2,ORL,Wesley Iwundu,22.19,us,Kansas State University
2017,34,2,SAC,Frank Mason,23.086,us,University of Kansas
2017,35,2,ORL,Ivan Rabb,20.143,us,University of California
2017,36,2,PHI,Jonah Bolden,21.177,au,
2017,37,2,BOS,Semi Ojeleye,22.205,us,Southern Methodist University
2017,38,2,CHI,Jordan Bell,22.172,us,University of Oregon
2017,39,2,PHI,Jawun Evans,20.336,us,Oklahoma State University
2017,40,2,NOP,Dwayne Bacon,21.302,us,Florida State University
2017,41,2,ATL,Tyler Dorsey,21.13,us,University of Oregon
2017,42,2,UTA,Thomas Bryant,19.331,us,Indiana University
2017,43,2,HOU,Isaiah Hartenstein,19.053,us,
2017,44,2,NYK,Damyean Dotson,23.053,us,University of Oregon
2017,45,2,HOU,Dillon Brooks,21.157,ca,University of Oregon
2017,46,2,PHI,Sterling Brown,22.138,us,Southern Methodist University
2017,47,2,IND,Ike Anigbogu,18.253,us,"University of California, Los Angeles"
2017,48,2,MIL,Sindarius Thornwell,22.225,us,University of South Carolina
2017,49,2,DEN,Vlatko Cancar,20.078,si,
2017,50,2,PHI,Mathias Lessort,21.272,mq,
2017,51,2,DEN,Monte Morris,22.001,us,Iowa State University
2017,52,2,NOP,Edmond Sumner,21.179,us,Xavier University
2017,53,2,BOS,Kadeem Allen,24.164,us,University of Arizona
2017,54,2,PHO,Alec Peters,22.076,us,Valparaiso University
2017,55,2,UTA,Nigel Williams-Goss,22.285,us,Gonzaga University
2017,56,2,BOS,Jabari Bird,22.36,us,University of California
2017,57,2,BRK,Aleksandar Vezenkov,21.326,cy,
2017,58,2,NYK,Ognjen Jaramaz,21.3,yu,
2017,59,2,SAS,Jaron Blossomgame,23.285,us,Clemson University
2017,60,2,ATL,Alpha Kaba,21.15,fr,
2016,1,1,PHI,Ben Simmons,19.343,au,Louisiana State University
2016,2,1,LAL,Brandon Ingram,18.299,us,Duke University
2016,3,1,BOS,Jaylen Brown,19.247,us,University of California
2016,4,1,PHO,Dragan Bender,18.223,ba,
2016,5,1,MIN,Kris Dunn,22.103,us,Providence College
2016,6,1,NOP,Buddy Hield,23.194,bs,University of Oklahoma
2016,7,1,DEN,Jamal Murray,19.125,ca,University of Kentucky
2016,8,1,SAC,Marquese Chriss,18.361,us,University of Washington
2016,9,1,TOR,Jakob Poeltl,20.257,at,University of Utah
2016,10,1,MIL,Thon Maker,19.123,ss,
2016,11,1,ORL,Domantas Sabonis,20.056,us,Gonzaga University
2016,12,1,UTA,Taurean Prince,22.099,us,Baylor University
2016,13,1,PHO,Georgios Papagiannis,18.36,gr,
2016,14,1,CHI,Denzel Valentine,22.225,us,Michigan State University
2016,15,1,DEN,Juan Hernangomez,20.274,es,
2016,16,1,BOS,Guerschon Yabusele,20.194,fr,
2016,17,1,MEM,Wade Baldwin,20.091,us,Vanderbilt University
2016,18,1,DET,Henry Ellenson,19.166,us,Marquette University
2016,19,1,DEN,Malik Beasley,19.214,us,Florida State University
2016,20,1,IND,Caris LeVert,21.308,us,University of Michigan
2016,21,1,ATL,DeAndre Bembry,21.36,us,Saint Joseph's University
2016,22,1,CHO,Malachi Richardson,20.175,us,Syracuse University
2016,23,1,BOS,Ante Zizic,19.175,hr,
2016,24,1,PHI,Timothe Luwawu,21.051,fr,
2016,25,1,LAC,Brice Johnson,22.002,us,University of North Carolina
2016,26,1,PHI,Furkan Korkmaz,18.339,tr,
2016,27,1,TOR,Pascal Siakam,22.088,cm,New Mexico State University
2016,28,1,PHO,Skal Labissiere,20.102,ht,University of Kentucky
2016,29,1,SAS,Dejounte Murray,19.282,us,University of Washington
2016,30,1,GSW,Damian Jones,20.364,us,Vanderbilt University
2016,31,2,BOS,Deyonta Davis,19.208,us,Michigan State University
2016,32,2,LAL,Ivica Zubac,19.102,ba,
2016,33,2,LAC,Cheick Diallo,19.288,ml,University of Kansas
2016,34,2,PHO,Tyler Ulis,20.175,us,University of Kentucky
2016,35,2,BOS,Rade Zagorac,20.321,rs,
2016,36,2,MIL,Malcolm Brogdon,23.2,us,University of Virginia
2016,37,2,HOU,Chinanu Onuaku,19.239,us,University of Louisville
2016,38,2,MIL,Patrick McCaw,20.247,us,"University of Nevada, Las Vegas"
2016,39,2,NOP,David Michineau,22.023,gp,
2016,40,2,NOP,Diamond Stone,19.138,us,University of Maryland
2016,41,2,ORL,Stephen Zimmerman,19.292,us,"University of Nevada, Las Vegas"
2016,42,2,UTA,Isaiah Whitehead,21.113,us,Seton Hall University
2016,43,2,HOU,Zhou Qi,20.164,cn,
2016,44,2,ATL,Isaia Cordinier,19.212,fr,
2016,45,2,BOS,Demetrius Jackson,21.295,us,University of Notre Dame
2016,46,2,DAL,A.J. Hammons,23.306,us,Purdue University
2016,47,2,ORL,Jake Layman,22.114,us,University of Maryland
2016,48,2,CHI,Paul Zipser,22.131,de,
2016,49,2,DET,Michael Gbinije,24.024,us,Syracuse University
2016,50,2,IND,Georges Niang,23.012,us,Iowa State University
2016,51,2,BOS,Ben Bentil,21.092,gh,Providence College
2016,52,2,UTA,Joel Bolomboy,22.152,ua,Weber State University
2016,53,2,DEN,Petr Cornelie,20.338,fr,
2016,54,2,ATL,Kay Felder,21.092,us,Oakland University
2016,55,2,BRK,Marcus Paige,22.291,us,University of North Carolina
2016,56,2,DEN,Daniel Hamilton,20.325,us,University of Connecticut
2016,57,2,MEM,Wang Zhelin,22.16,cn,
2016,58,2,BOS,Abdel Nader,22.277,eg,Iowa State University
2016,59,2,SAC,Isaiah Cousins,22.108,us,University of Oklahoma
2016,60,2,UTA,Tyrone Wallace,22.019,us,University of California
2015,1,1,MIN,Karl-Anthony Towns,19.227,us,University of Kentucky
2015,2,1,LAL,D'Angelo Russell,19.127,us,Ohio State University
2015,3,1,PHI,Jahlil Okafor,19.197,us,Duke University
2015,4,1,NYK,Kristaps Porzingis,19.332,lv,
2015,5,1,ORL,Mario Hezonja,20.125,hr,
2015,6,1,SAC,Willie Cauley-Stein,21.316,us,University of Kentucky
2015,7,1,DEN,Emmanuel Mudiay,19.116,cd,
2015,8,1,DET,Stanley Johnson,19.031,us,University of Arizona
2015,9,1,CHO,Frank Kaminsky,22.087,us,University of Wisconsin
2015,10,1,MIA,Justise Winslow,19.095,us,Duke University
2015,11,1,IND,Myles Turner,19.097,us,University of Texas at Austin
2015,12,1,UTA,Trey Lyles,19.237,ca,University of Kentucky
2015,13,1,PHO,Devin Booker,18.242,us,University of Kentucky
2015,14,1,OKC,Cameron Payne,20.326,us,Murray State University
2015,15,1,ATL,Kelly Oubre,19.203,us,University of Kansas
2015,16,1,BOS,Terry Rozier,21.105,us,University of Louisville
2015,17,1,MIL,Rashad Vaughn,18.317,us,"University of Nevada, Las Vegas"
2015,18,1,HOU,Sam Dekker,21.055,us,University of Wisconsin
2015,19,1,WAS,Jerian Grant,22.264,us,University of Notre Dame
2015,20,1,TOR,Delon Wright,23.065,us,University of Utah
2015,21,1,DAL,Justin Anderson,21.223,us,University of Virginia
2015,22,1,CHI,Bobby Portis,20.14,us,University of Arkansas
2015,23,1,POR,Rondae Hollis-Jefferson,20.178,us,University of Arizona
2015,24,1,CLE,Tyus Jones,19.05,us,Duke University
2015,25,1,MEM,Jarell Martin,21.037,us,Louisiana State University
2015,26,1,SAS,Nikola Milutinov,20.182,rs,
2015,27,1,LAL,Larry Nance Jr.,22.18,us,University of Wyoming
2015,28,1,BOS,R.J. Hunter,21.249,us,Georgia State University
2015,29,1,BRK,Chris McCullough,20.145,us,Syracuse University
2015,30,1,GSW,Kevon Looney,19.144,us,"University of California, Los Angeles"
2015,31,2,MIN,Cedi Osman,20.083,mk,
2015,32,2,HOU,Montrezl Harrell,21.155,us,University of Louisville
2015,33,2,BOS,Jordan Mickey,20.356,us,Louisiana State University
2015,34,2,LAL,Anthony Brown,22.263,us,Stanford University
2015,35,2,PHI,Willy Hernangomez,21.034,es,
2015,36,2,MIN,Rakeem Christmas,23.212,us,Syracuse University
2015,37,2,PHI,Richaun Holmes,21.258,us,Bowling Green State University
2015,38,2,DET,Darrun Hilliard,22.078,us,Villanova University
2015,39,2,CHO,Juan Pablo Vaulet,19.099,ar,
2015,40,2,MIA,Josh Richardson,21.288,us,University of Tennessee
2015,41,2,BRK,Pat Connaughton,22.175,us,University of Notre Dame
2015,42,2,UTA,Olivier Hanlan,22.135,ca,Boston College
2015,43,2,IND,Joseph Young,23.003,us,University of Oregon
2015,44,2,PHO,Andrew Harrison,20.245,us,University of Kentucky
2015,45,2,BOS,Marcus Thornton,22.141,us,College of William & Mary
2015,46,2,MIL,Norman Powell,22.036,us,"University of California, Los Angeles"
2015,47,2,PHI,Arturas Gudaitis,22.011,lt,
2015,48,2,OKC,Dakari Johnson,19.281,us,University of Kentucky
2015,49,2,WAS,Aaron White,22.293,us,University of Iowa
2015,50,2,ATL,Marcus Eriksson,21.207,se,
2015,51,2,ORL,Tyler Harvey,21.348,us,Eastern Washington University
2015,52,2,DAL,Satnam Singh,19.202,in,
2015,53,2,CLE,Sir'Dominic Pointer,23.055,us,St. John's University
2015,54,2,UTA,Dani Diez,22.084,es,
2015,55,2,SAS,Cady Lalanne,23.069,ht,University of Massachusetts Amherst
2015,56,2,NOP,Branden Dawson,22.149,us,Michigan State University
2015,57,2,DEN,Nikola Radicevic,21.066,rs,
2015,58,2,PHI,J.P. Tokoto,21.288,us,University of North Carolina
2015,59,2,ATL,Dimitrios Agravanis,20.192,gr,
2015,60,2,PHI,Luka Mitrovic,22.101,rs,
2014,1,1,CLE,Andrew Wiggins,19.128,ca,University of Kansas
2014,2,1,MIL,Jabari Parker,19.108,us,Duke University
2014,3,1,PHI,Joel Embiid,20.107,cm,University of Kansas
2014,4,1,ORL,Aaron Gordon,18.288,us,University of Arizona
2014,5,1,UTA,Dante Exum,18.353,au,
2014,6,1,BOS,Marcus Smart,20.117,us,Oklahoma State University
2014,7,1,LAL,Julius Randle,19.214,us,University of Kentucky
2014,8,1,SAC,Nik Stauskas,20.267,ca,University of Michigan
2014,9,1,CHH,Noah Vonleh,18.311,us,Indiana University
2014,10,1,PHI,Elfrid Payton,20.129,us,University of Louisiana at Lafayette
2014,11,1,DEN,Doug McDermott,22.18,us,Creighton University
2014,12,1,ORL,Dario Saric,20.084,hr,
2014,13,1,MIN,Zach LaVine,19.113,us,"University of California, Los Angeles"
2014,14,1,PHO,T.J. Warren,20.299,us,North Carolina State University
2014,15,1,ATL,Adreian Payne,23.133,us,Michigan State University
2014,16,1,CHI,Jusuf Nurkic,19.312,ba,
2014,17,1,BOS,James Young,18.319,us,University of Kentucky
2014,18,1,PHO,Tyler Ennis,19.311,ca,Syracuse University
2014,19,1,CHI,Gary Harris,19.29,us,Michigan State University
2014,20,1,TOR,Bruno Caboclo,18.283,br,
2014,21,1,OKC,Mitch McGary,22.025,us,University of Michigan
2014,22,1,MEM,Jordan Adams,19.358,us,"University of California, Los Angeles"
2014,23,1,UTA,Rodney Hood,21.254,us,Duke University
2014,24,1,CHH,Shabazz Napier,22.353,us,University of Connecticut
2014,25,1,HOU,Clint Capela,20.044,ch,
2014,26,1,MIA,P.J. Hairston,21.189,us,University of North Carolina
2014,27,1,PHO,Bogdan Bogdanovic,21.317,rs,
2014,28,1,LAC,C.J. Wilcox,23.184,us,University of Washington
2014,29,1,OKC,Josh Huestis,22.195,us,Stanford University
2014,30,1,SAS,Kyle Anderson,20.284,us,"University of California, Los Angeles"
2014,31,2,MIL,Damien Inglis,19.042,gf,
2014,32,2,PHI,K.J. McDaniels,21.142,us,Clemson University
2014,33,2,CLE,Joe Harris,22.299,us,University of Virginia
2014,34,2,NYK,Cleanthony Early,23.076,us,Wichita State University
2014,35,2,UTA,Jarnell Stokes,20.175,us,University of Tennessee
2014,36,2,MIL,Johnny O'Bryant III,21.03,us,Louisiana State University
2014,37,2,TOR,DeAndre Daniels,22.077,us,University of Connecticut
2014,38,2,DET,Spencer Dinwiddie,21.086,us,University of Colorado
2014,39,2,PHI,Jerami Grant,20.111,us,Syracuse University
2014,40,2,MIN,Glenn Robinson III,20.174,us,University of Michigan
2014,41,2,DEN,Nikola Jokic,19.132,rs,
2014,42,2,HOU,Nick Johnson,21.191,us,University of Arizona
2014,43,2,ATL,Walter Tavares,22.101,cv,
2014,44,2,MIN,Markel Brown,22.154,us,Oklahoma State University
2014,45,2,CHH,Dwight Powell,22.347,ca,Stanford University
2014,46,2,WAS,Jordan Clarkson,22.024,us,University of Missouri
2014,47,2,PHI,Russ Smith,23.074,us,University of Louisville
2014,48,2,MIL,Lamar Patterson,22.324,us,University of Pittsburgh
2014,49,2,CHI,Cameron Bairstow,23.207,au,University of New Mexico
2014,50,2,PHO,Alec Brown,21.343,us,University of Wisconsin-Green Bay
2014,51,2,NYK,Thanasis Antetokounmpo,21.349,gr,
2014,52,2,PHI,Vasilije Micic,20.169,rs,
2014,53,2,MIN,Alessandro Gentile,21.231,it,
2014,54,2,PHI,Nemanja Dangubic,21.079,rs,
2014,55,2,MIA,Semaj Christon,21.242,us,Xavier University
2014,56,2,DEN,Roy Devyn Marble,21.283,us,University of Iowa
2014,57,2,IND,Louis Labeyrie,22.141,fr,
2014,58,2,SAS,Jordan McRae,23.096,us,University of Tennessee
2014,59,2,TOR,Xavier Thames,23.164,us,San Diego State University
2014,60,2,SAS,Cory Jefferson,23.188,us,Baylor University
