RANK,TEAM,OVERALL_RECORD,HOME_RECORD,ROAD_RECORD,EASTERN_CONF_RECORD,WESTERN_CONF_RECORD,ATLANTIC_DIV_RECORD,CENTRAL_DIV_RECORD,SOUTHEAST_DIV_RECORD,NORTHWEST_DIV_RECORD,PACIFIC_DIV_RECORD,SOUTHWEST_DIC_RECORD,PRE_ALLSTAR_RECORD,POST_ALLSTAR_RECORD,MARGIN_0-3_RECORD,MARGIN+10_RECORD,OCT_RECORD,NOV_RECORD,DEC_RECORD,JAN_RECORD,FEB_RECORD,MAR_RECORD,APR_RECORD
1,Toronto Raptors,35-13,20-4,15-9,22-8,13-5,5-4,8-3,9-1,3-3,7-0,3-2,35-13,0-0,7-3,19-5,7-1,12-3,8-7,8-2,0-0,0-0,0-0
2,Milwaukee Bucks,34-12,21-4,13-8,22-7,12-5,8-3,8-1,6-3,5-1,2-3,5-1,34-12,0-0,3-5,25-3,7-0,8-6,10-4,9-2,0-0,0-0,0-0
3,Golden State Warriors,33-14,18-6,15-8,12-4,21-10,4-2,4-2,4-0,7-4,8-2,6-4,33-14,0-0,3-5,20-6,8-1,7-7,10-5,8-1,0-0,0-0,0-0
4,Denver Nuggets,31-14,20-4,11-10,13-5,18-9,4-1,4-2,5-2,6-0,8-4,4-5,31-14,0-0,7-2,12-5,6-1,9-6,8-4,8-3,0-0,0-0,0-0
5,Indiana Pacers,31-15,17-6,14-9,23-8,8-7,7-5,7-2,9-1,2-2,3-2,3-3,31-15,0-0,3-3,17-9,5-3,8-6,12-3,6-3,0-0,0-0,0-0
6,Philadelphia 76ers,31-17,20-5,11-12,20-13,11-4,5-6,7-4,8-3,3-2,4-0,4-2,31-17,0-0,7-4,15-9,4-4,12-4,7-6,8-3,0-0,0-0,0-0
7,Boston Celtics,29-18,18-5,11-13,20-10,9-8,7-3,7-3,6-4,3-4,1-1,5-3,29-18,0-0,2-3,15-5,5-2,7-8,9-5,8-3,0-0,0-0,0-0
8,Portland Trail Blazers,29-19,20-7,9-12,13-3,16-16,5-0,4-1,4-2,3-6,6-6,7-4,29-19,0-0,3-4,16-7,5-2,8-7,8-7,8-3,0-0,0-0,0-0
9,Oklahoma City Thunder,28-18,14-7,14-11,12-4,16-14,4-1,4-1,4-2,3-4,9-5,4-5,28-18,0-0,4-4,16-7,2-4,12-3,9-6,5-5,0-0,0-0,0-0
10,San Antonio Spurs,27-21,18-7,9-14,7-6,20-15,3-0,3-3,1-3,7-5,8-5,5-5,27-21,0-0,3-2,16-10,5-2,5-10,11-5,6-4,0-0,0-0,0-0
