RANK,SEASON,TEAM,PLAYOFF_TEAM,AVERAGE_AGE,W,L,W/L%,PW,PL,MOV,SOS,SRS,ORTG,DRTG,NRTG,PACE,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,ARENA,TOTAL_ATTENDANCE,ATTENDANCE/G
,2004-2005,League Average,0,27.1,,,,41,41,0.0,0.0,0.0,106.1,106.1,,90.9,0.324,0.196,0.529,0.48200000000000004,13.6,28.7,0.245,0.48200000000000004,13.6,71.3,0.245,,709883,17314
,2005-2006,League Average,0,26.6,,,,41,41,0.0,0.0,0.0,106.2,106.2,,90.5,0.33299999999999996,0.20199999999999999,0.536,0.49,13.7,27.3,0.248,0.49,13.7,72.7,0.248,,719853,17571
,2006-2007,League Average,0,26.7,,,,41,41,0.0,0.0,0.0,106.5,106.5,,91.9,0.327,0.213,0.541,0.496,14.2,27.1,0.24600000000000002,0.496,14.2,72.9,0.24600000000000002,,728036,17760
,2007-2008,League Average,0,27.0,,,,41,41,0.0,0.0,0.0,107.5,107.5,,92.4,0.306,0.222,0.54,0.49700000000000005,13.2,26.7,0.231,0.49700000000000005,13.2,73.3,0.231,,713186,17395
,2008-2009,League Average,0,26.8,,,,41,41,0.0,0.0,0.0,108.3,108.3,,91.7,0.306,0.22399999999999998,0.544,0.5,13.3,26.7,0.23600000000000002,0.5,13.3,73.3,0.23600000000000002,,718309,17520
,2009-2010,League Average,0,26.8,,,,41,41,0.0,-0.01,-0.01,107.6,107.6,,92.7,0.3,0.222,0.5429999999999999,0.501,13.3,26.3,0.228,0.501,13.3,73.7,0.228,,703627,17162
,2010-2011,League Average,0,26.7,,,,41,41,0.0,0.0,0.0,107.3,107.3,,92.1,0.3,0.222,0.541,0.498,13.4,26.4,0.22899999999999998,0.498,13.4,73.6,0.22899999999999998,,710241,17321
,2011-2012,League Average,0,26.7,,,,33,33,0.0,0.0,0.0,104.6,104.6,,91.3,0.276,0.226,0.527,0.48700000000000004,13.8,27.0,0.20800000000000002,0.48700000000000004,13.8,73.0,0.20800000000000002,,570035,17274
,2012-2013,League Average,0,26.7,,,,41,41,0.0,0.0,0.0,105.9,105.9,,92.0,0.27,0.243,0.535,0.496,13.7,26.5,0.204,0.496,13.7,73.5,0.204,,710653,17346
,2013-2014,League Average,0,26.6,,,,41,41,0.0,0.0,0.0,106.7,106.7,,93.9,0.284,0.259,0.541,0.501,13.6,25.5,0.215,0.501,13.6,74.5,0.215,,713714,17407
,2014-2015,League Average,0,26.8,,,,41,41,0.0,0.0,0.0,105.6,105.6,,93.9,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205,,729877,17814
,2015-2016,League Average,0,26.8,,,,41,41,0.0,0.0,0.0,106.4,106.4,,95.8,0.276,0.285,0.541,0.502,13.2,23.8,0.209,0.502,13.2,76.2,0.209,,732555,17866
,2016-2017,League Average,0,26.6,,,,41,41,0.0,0.0,0.0,108.8,108.8,,96.4,0.271,0.316,0.552,0.514,12.7,23.3,0.209,0.514,12.7,76.7,0.209,,733247,17880
,2017-2018,League Average,0,26.6,,,,41,41,0.0,0.0,0.0,108.6,108.6,,97.3,0.252,0.337,0.556,0.521,13.0,22.3,0.193,0.521,13.0,77.7,0.193,,737485,17989
,2018-2019,League Average,0,26.4,,,,41,41,0.0,0.0,0.0,110.4,110.4,,100.0,0.259,0.359,0.56,0.524,12.4,22.9,0.198,0.524,12.4,77.1,0.198,,732148,17853
