RANK,SEASON,LEAGUE,AGE,HEIGHT,WEIGHT,G,PER_100_FG,PER_100_FGA,PER_100_3P,PER_100_3PA,PER_100_FT,PER_100_FTA,PER_100_ORB,PER_100_DRB,PER_100_TRB,PER_100_AST,PER_100_STL,PER_100_BLK,PER_100_TOV,PER_100_PF,PER_100_PTS,FG%,3PT%,FT%,PACE,EFG%,TOV%,ORB%,FT/FGA,ORTG
1,2018-2019,NBA,26.3,6-7,218.0,1230,40.8,88.6,11.3,31.8,17.6,22.9,10.3,34.6,44.8,24.4,7.6,4.9,14.0,20.8,110.4,0.461,0.355,0.766,100.0,0.524,12.4,22.9,0.198,110.4
2,2017-2018,NBA,26.4,6-7,219.0,1230,40.5,87.9,10.7,29.6,17.0,22.1,9.9,34.5,44.4,23.7,7.9,4.9,14.6,20.3,108.6,0.46,0.362,0.767,97.3,0.521,13.0,22.3,0.193,108.6
3,2016-2017,NBA,26.6,6-7,220.0,1230,40.2,88.0,9.9,27.8,18.4,23.8,10.4,34.4,44.8,23.3,7.9,4.9,14.4,20.5,108.8,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8
4,2015-2016,NBA,26.7,6-7,221.0,1230,39.6,87.6,8.8,25.0,18.3,24.2,10.8,34.6,45.3,23.1,8.1,5.1,14.9,21.0,106.4,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4
5,2014-2015,NBA,26.7,6-7,222.0,1230,39.6,88.3,8.3,23.7,18.1,24.1,11.5,34.2,45.7,23.3,8.2,5.1,15.2,21.4,105.6,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6
6,2013-2014,NBA,26.5,6-7,223.0,1230,39.8,87.6,8.2,22.7,18.8,24.9,11.5,33.6,45.1,23.2,8.1,5.0,15.5,21.9,106.6,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6
7,2012-2013,NBA,26.7,6-7,223.0,1229,40.1,88.5,7.7,21.5,18.0,23.9,12.0,33.4,45.4,23.9,8.4,5.5,15.7,21.4,105.8,0.453,0.359,0.753,92.0,0.496,13.7,26.5,0.204,105.8
8,2011-2012,NBA,26.6,6-7,223.0,990,39.6,88.5,7.0,20.0,18.4,24.4,12.4,33.5,45.8,22.8,8.3,5.5,15.8,21.3,104.6,0.448,0.349,0.752,91.3,0.487,13.8,27.0,0.208,104.6
9,2010-2011,NBA,26.6,6-7,223.0,1230,40.1,87.5,7.0,19.4,20.0,26.3,11.8,32.8,44.6,23.2,7.9,5.2,15.4,22.3,107.3,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3
10,2009-2010,NBA,26.6,6-7,222.0,1230,40.4,87.5,6.9,19.4,19.9,26.3,11.7,32.9,44.7,22.8,7.7,5.2,15.2,22.3,107.6,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6
11,2008-2009,NBA,26.6,6-7,221.0,1230,40.2,87.7,7.2,19.6,20.7,26.8,12.0,32.8,44.7,22.7,7.9,5.2,15.2,22.8,108.3,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3
12,2007-2008,NBA,26.8,6-7,220.0,1230,40.1,87.7,7.1,19.5,20.3,26.8,12.0,33.1,45.2,23.4,7.8,5.1,15.2,22.6,107.5,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
13,2006-2007,NBA,26.6,6-7,219.0,1230,39.4,85.9,6.5,18.3,21.1,28.1,12.0,32.3,44.3,22.9,7.8,5.0,16.3,24.0,106.5,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
14,2005-2006,NBA,26.5,6-7,220.0,1230,39.2,86.5,6.3,17.5,21.5,28.8,12.2,32.6,44.8,22.6,7.8,5.1,15.8,24.9,106.2,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
15,2004-2005,NBA,26.9,6-7,220.0,1230,39.2,87.7,6.1,17.2,21.5,28.4,13.1,32.6,45.7,23.2,8.2,5.3,15.8,24.7,106.1,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
16,2003-2004,NBA,27.0,6-7,219.0,1189,38.6,88.0,5.7,16.4,20.1,26.7,13.3,33.2,46.5,23.5,8.7,5.6,16.5,23.6,102.9,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
17,2002-2003,NBA,27.2,6-7,219.0,1189,38.9,88.1,5.6,16.0,20.2,26.6,13.1,33.0,46.1,23.4,8.7,5.5,16.3,23.7,103.6,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.229,103.6
18,2001-2002,NBA,27.4,6-7,217.0,1189,39.6,89.0,5.7,16.1,19.6,26.1,13.4,33.0,46.4,24.0,8.5,5.7,15.8,23.2,104.5,0.445,0.354,0.752,90.7,0.477,13.6,28.9,0.221,104.5
