RANK,SEASON,LEAGUE,AGE,HEIGHT,WEIGHT,G,MP,PER_GAME_FG,PER_GAME_FGA,PER_GAME_3P,PER_GAME_3PA,PER_GAME_FT,PER_GAME_FTA,PER_GAME_ORB,PER_GAME_DRB,PER_GAME_TRB,PER_GAME_AST,PER_GAME_STL,PER_GAME_BLK,PER_GAME_TOV,PER_GAME_PF,PER_GAME_PTS,FG%,3P%,FT%,PACE,eFG%,TOV%,ORB%,FT/FGA,ORTG
1,2018-2019,NBA,26.3,6-7,218.0,1230,241.6,41.1,89.2,11.4,32.0,17.7,23.1,10.3,34.8,45.2,24.6,7.6,5.0,14.1,20.9,111.2,0.461,0.355,0.766,100.0,0.524,12.4,22.9,0.198,110.4
2,2017-2018,NBA,26.4,6-7,219.0,1230,241.4,39.6,86.1,10.5,29.0,16.6,21.7,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,0.46,0.362,0.767,97.3,0.521,13.0,22.3,0.193,108.6
3,2016-2017,NBA,26.6,6-7,220.0,1230,241.6,39.0,85.4,9.7,27.0,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14.0,19.9,105.6,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8
4,2015-2016,NBA,26.7,6-7,221.0,1230,241.8,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5.0,14.4,20.3,102.7,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4
5,2014-2015,NBA,26.7,6-7,222.0,1230,242.0,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6
6,2013-2014,NBA,26.5,6-7,223.0,1230,242.0,37.7,83.0,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22.0,7.7,4.7,14.6,20.7,101.0,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6
7,2012-2013,NBA,26.7,6-7,223.0,1229,241.9,37.1,82.0,7.2,20.0,16.7,22.2,11.2,31.0,42.1,22.1,7.8,5.1,14.6,19.8,98.1,0.453,0.359,0.753,92.0,0.496,13.7,26.5,0.204,105.8
8,2011-2012,NBA,26.6,6-7,223.0,990,241.9,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21.0,7.7,5.1,14.6,19.6,96.3,0.448,0.349,0.752,91.3,0.487,13.8,27.0,0.208,104.6
9,2010-2011,NBA,26.6,6-7,223.0,1230,241.9,37.2,81.2,6.5,18.0,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3
10,2009-2010,NBA,26.6,6-7,222.0,1230,241.7,37.7,81.7,6.4,18.1,18.6,24.5,11.0,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6
11,2008-2009,NBA,26.6,6-7,221.0,1230,241.7,37.1,80.9,6.6,18.1,19.1,24.7,11.0,30.3,41.3,21.0,7.3,4.8,14.0,21.0,100.0,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3
12,2007-2008,NBA,26.8,6-7,220.0,1230,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
13,2006-2007,NBA,26.6,6-7,219.0,1230,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
14,2005-2006,NBA,26.5,6-7,220.0,1230,242.1,35.8,79.0,5.7,16.0,19.6,26.3,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
15,2004-2005,NBA,26.9,6-7,220.0,1230,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12.0,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
16,2003-2004,NBA,27.0,6-7,219.0,1189,241.7,35.0,79.8,5.2,14.9,18.2,24.2,12.1,30.1,42.2,21.3,7.9,5.1,15.0,21.4,93.4,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
17,2002-2003,NBA,27.2,6-7,219.0,1189,242.0,35.7,80.8,5.1,14.7,18.5,24.4,12.0,30.3,42.3,21.5,7.9,5.0,14.9,21.8,95.1,0.442,0.349,0.758,91.0,0.474,14.0,28.5,0.229,103.6
