RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES
,2004-2005,League Average,0,82,19838,0.447,12.1,0.804,0.304,0.135,0.129,0.23600000000000002,0.196,0.47,0.596,0.391,0.38299999999999995,0.4,0.35600000000000004,0.544,0.051,305,0.231,806,0.8540000000000001,0.272,0.384,12.1,0.1
,2005-2006,League Average,0,82,19853,0.45399999999999996,12.2,0.7979999999999999,0.309,0.133,0.11900000000000001,0.23600000000000002,0.20199999999999999,0.478,0.601,0.4,0.391,0.405,0.358,0.523,0.049,288,0.239,836,0.851,0.27,0.39,12.4,0.3
,2006-2007,League Average,0,82,19856,0.45799999999999996,12.2,0.787,0.314,0.131,0.113,0.22899999999999998,0.213,0.485,0.61,0.41100000000000003,0.392,0.40399999999999997,0.358,0.527,0.046,277,0.244,886,0.863,0.271,0.384,12.6,0.3
,2007-2008,League Average,0,82,19801,0.457,12.5,0.778,0.308,0.124,0.111,0.235,0.222,0.484,0.607,0.408,0.391,0.409,0.36200000000000004,0.523,0.051,309,0.24,889,0.867,0.264,0.395,15.6,0.3
,2008-2009,League Average,0,82,19826,0.45899999999999996,12.4,0.7759999999999999,0.314,0.124,0.111,0.22699999999999998,0.22399999999999998,0.485,0.602,0.41200000000000003,0.395,0.40700000000000003,0.36700000000000005,0.501,0.051,312,0.247,898,0.8590000000000001,0.27399999999999997,0.395,14.8,0.3
,2009-2010,League Average,0,82,19820,0.461,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.49200000000000005,0.613,0.42100000000000004,0.4,0.402,0.355,0.505,0.048,293,0.253,961,0.847,0.258,0.392,15.9,0.6
,2010-2011,League Average,0,82,19836,0.45899999999999996,12.6,0.778,0.276,0.17800000000000002,0.11,0.214,0.222,0.48700000000000004,0.65,0.392,0.39799999999999996,0.40299999999999997,0.358,0.518,0.049,297,0.222,883,0.86,0.27,0.39399999999999996,15.7,0.5
,2011-2012,League Average,0,66,15966,0.44799999999999995,12.5,0.774,0.287,0.16899999999999998,0.11,0.20800000000000002,0.226,0.47700000000000004,0.634,0.37799999999999995,0.38799999999999996,0.38799999999999996,0.349,0.518,0.05,244,0.226,711,0.843,0.261,0.376,10.1,0.3
,2012-2013,League Average,0,82,19817,0.45299999999999996,12.6,0.757,0.293,0.16399999999999998,0.107,0.193,0.243,0.483,0.631,0.381,0.395,0.39299999999999996,0.359,0.535,0.052000000000000005,318,0.23,891,0.851,0.268,0.39,14.0,0.3
,2013-2014,League Average,0,82,19841,0.45399999999999996,12.8,0.741,0.28600000000000003,0.16899999999999998,0.105,0.18,0.259,0.488,0.636,0.39,0.401,0.395,0.36,0.518,0.048,301,0.22899999999999998,909,0.8370000000000001,0.248,0.39,14.8,0.5
,2014-2015,League Average,0,82,19839,0.449,12.8,0.732,0.28800000000000003,0.165,0.10300000000000001,0.175,0.268,0.485,0.628,0.38299999999999995,0.40299999999999997,0.39399999999999996,0.35,0.52,0.047,293,0.228,903,0.843,0.253,0.387,14.4,0.4
,2015-2016,League Average,0,82,19826,0.452,12.5,0.715,0.293,0.158,0.10300000000000001,0.162,0.285,0.491,0.624,0.396,0.405,0.39799999999999996,0.354,0.51,0.048,304,0.251,982,0.836,0.248,0.377,14.7,0.5
,2016-2017,League Average,0,82,19815,0.457,13.3,0.684,0.29,0.152,0.099,0.142,0.316,0.503,0.631,0.414,0.41200000000000003,0.40299999999999997,0.358,0.495,0.051,322,0.25,994,0.835,0.228,0.38799999999999996,16.8,0.3
,2017-2018,League Average,0,82,19795,0.46,13.2,0.6629999999999999,0.281,0.156,0.106,0.12,0.337,0.51,0.6579999999999999,0.39399999999999996,0.415,0.4,0.36200000000000004,0.499,0.053,331,0.273,1064,0.83,0.20800000000000002,0.39399999999999996,17.5,0.2
,2018-2019,League Average,0,82,19818,0.461,13.5,0.6409999999999999,0.292,0.162,0.096,0.092,0.359,0.52,0.6579999999999999,0.4,0.413,0.401,0.355,0.513,0.057999999999999996,380,0.278,1113,0.823,0.214,0.38299999999999995,15.7,0.5
