"bbref_id","season","age","team","league","position","games_played","minutes_played","PER","TS_perc","three_point_rate","FTr","ORB_perc","DRB_perc","TRB_perc","AST_perc","STL_perc","BLK_perc","TOV_perc","USG_perc","OWS","DWS","WS","WS_per_48","OBPM","DBPM","BPM","VORP","team_flag"
"abdursh01","1997",20,"VAN","NBA","PF",80,2802,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,-0.8,-1.2,-2,0,TRUE
"abdursh01","1998",21,"VAN","NBA","SF",82,2950,21.1,0.562,0.038,0.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,6.3,0.6,6.9,0.113,2.6,-1.4,1.2,2.3,TRUE
"abdursh01","1999",22,"VAN","NBA","SF",50,2021,20.7,0.53,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2,14.6,28.9,3.7,0.9,4.6,0.108,1.9,-0.3,1.6,1.8,TRUE
"abdursh01","1900",23,"VAN","NBA","SF",82,3223,20.2,0.547,0.075,0.431,8,22.7,15.3,15.5,1.5,1.9,14.1,25,6.2,2.6,8.8,0.132,1.8,0.5,2.3,3.5,TRUE
"abdursh01","2001",24,"VAN","NBA","SF",81,3241,19.1,0.549,0.05,0.415,6.2,19.6,13,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.3,0.9,2.2,3.5,TRUE
"abdursh01","2002",25,"ATL","NBA","PF",77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2,14.1,27,4.1,3.1,7.2,0.116,1.2,0.8,2,3,TRUE
"abdursh01","2003",26,"ATL","NBA","PF",81,3087,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13,24.2,7.4,2.3,9.7,0.151,2.1,-0.4,1.7,2.8,TRUE
"abdursh01","2004",27,"TOT","NBA","PF",85,2684,19.9,0.557,0.032,0.407,8.2,19,13.6,12.3,1.4,1,12.9,24.4,6.1,2,8.1,0.145,1.3,-1,0.3,1.6,TRUE
"abdursh01","2004",27,"ATL","NBA","PF",53,1956,21.2,0.568,0.029,0.423,8.2,20.3,14.3,12.6,1.2,0.7,12.3,24.8,5.3,1.3,6.6,0.163,2.1,-1.1,1,1.5,FALSE
"abdursh01","2004",27,"POR","NBA","PF",32,728,16.5,0.522,0.042,0.36,7.9,15.5,11.8,11.5,1.8,1.8,14.8,23.3,0.9,0.6,1.5,0.098,-0.9,-0.5,-1.4,0.1,FALSE
"abdursh01","2005",28,"POR","NBA","PF",54,1867,18.7,0.581,0.058,0.379,7.9,16,12.1,10.7,1.4,1,13,22.1,3.9,1.5,5.4,0.139,1.4,-0.5,0.8,1.3,TRUE
"abdursh01","2006",29,"SAC","NBA","PF",72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4,2.2,6.2,0.152,0.4,0.4,0.9,1.4,TRUE
"abdursh01","2007",30,"SAC","NBA","C",80,2015,13.1,0.524,0.031,0.358,7,16.4,11.6,9.2,1.3,1.5,13.3,19.5,1.1,1.7,2.8,0.067,-2.1,0,-2.1,-0.1,TRUE
"abdursh01","2008",31,"SAC","NBA","PF",6,51,5.5,0.317,0,0.286,14.2,9.1,11.6,11.1,1,0,6,14.7,0,0,0,-0.005,-3.6,-2.1,-5.7,0,TRUE
"abrinal01","2017",23,"OKC","NBA","SG",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-0.3,-2.2,-2.5,-0.1,TRUE
"abrinal01","2018",24,"OKC","NBA","SG",75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-0.5,-1.7,-2.2,-0.1,TRUE
"abrinal01","2019",25,"OKC","NBA","SG",31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2,TRUE
"ackeral01","2006",23,"DET","NBA","SG",5,35,-2.4,0.281,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,-0.2,0,-0.2,-0.23,-10.4,-1.9,-12.3,-0.1,TRUE
"ackeral01","2009",26,"TOT","NBA","SG",25,199,10.4,0.448,0.263,0.132,4.5,9.6,7,10.2,1.3,1.5,8,20.1,-0.1,0.1,0,-0.011,-3.6,-2.4,-6,-0.2,TRUE
"ackeral01","2009",26,"DET","NBA","SG",7,20,16,0.379,0.364,0.182,0,12,5.9,9.1,5.5,3.9,0,28.3,0,0,0,0.009,-3.2,1,-2.3,0,FALSE
"ackeral01","2009",26,"LAC","NBA","SG",18,179,9.8,0.46,0.246,0.123,5,9.3,7.1,10.3,0.9,1.2,9.3,19.2,-0.1,0,0,-0.013,-3.6,-2.8,-6.4,-0.2,FALSE
"acyqu01","2013",22,"TOR","NBA","PF",29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-0.6,1.3,0.7,0.2,TRUE
"acyqu01","2014",23,"TOT","NBA","SF",63,847,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.6,0.9,1.5,0.086,-2.5,1.4,-1.1,0.2,TRUE
"acyqu01","2014",23,"TOR","NBA","SF",7,61,17.2,0.542,0.357,0.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,0.1,0.1,0.2,0.188,0.5,3.7,4.1,0.1,FALSE
"acyqu01","2014",23,"SAC","NBA","SF",56,786,9.6,0.518,0.079,0.354,9.5,19.5,14.4,4.4,1.2,2.4,16,9.8,0.5,0.7,1.3,0.078,-2.8,1.2,-1.5,0.1,FALSE
"acyqu01","2015",24,"NYK","NBA","PF",68,1287,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,1,0.7,1.7,0.063,-2.3,-0.8,-3.1,-0.3,TRUE
"acyqu01","2016",25,"SAC","NBA","PF",59,876,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,1.8,0.7,2.5,0.137,0.2,0,0.2,0.5,TRUE
"acyqu01","2017",26,"TOT","NBA","PF",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.8,-1.2,-3,-0.1,TRUE
"acyqu01","2017",26,"DAL","NBA","PF",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,-0.2,0,-0.1,-0.133,-10.1,-6,-16.2,-0.2,FALSE
"acyqu01","2017",26,"BRK","NBA","PF",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-1.1,-0.7,-1.8,0,FALSE
"acyqu01","2018",27,"BRK","NBA","PF",70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,-0.1,1.1,1,0.036,-2,-0.2,-2.2,-0.1,TRUE
"acyqu01","2019",28,"PHO","NBA","PF",10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0,-0.1,-0.022,-5.7,-0.3,-5.9,-0.1,TRUE
"adamsha01","2007",22,"NJN","NBA","SG",61,495,13,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1,0.095,-2.4,-1.2,-3.6,-0.2,TRUE
"adamsha01","2009",24,"TOR","NBA","SG",12,52,0.4,0.352,0,0.462,2.3,13.4,7.9,2.8,1,1.5,20.4,17.4,-0.2,0,-0.2,-0.144,-10.6,-1.3,-12,-0.1,TRUE
"adamsja01","2019",22,"ATL","NBA","PG",34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,-0.1,0.2,0.1,0.011,-3.1,-1.3,-4.4,-0.3,TRUE
"adamsjo01","2015",20,"MEM","NBA","SG",30,248,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,TRUE
"adamsjo01","2016",21,"MEM","NBA","SG",2,15,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,0,0,0,0.015,-2.9,4.8,1.9,0,TRUE
"adamsst01","2014",20,"OKC","NBA","C",81,1197,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,TRUE
"adamsst01","2015",21,"OKC","NBA","C",70,1771,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,1.9,2.2,4.1,0.111,-1.4,1.8,0.4,1.1,TRUE
