"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c","position_minutes","position_numeric","team_flag","advanced_position_cluster"
"mckieaa01",2001,28,1,"PHI","NBA","SG",76,2394,7.1,6,0.02,0.72,0.26,0,0,47.88,1723.68,622.44,0,0,"SG",2.24,TRUE,NA
"mckieaa01",2002,29,2,"PHI","NBA","SG",48,1471,3.5,2.5,0,0.44,0.54,0.02,0,0,647.24,794.34,29.42,0,"SF",2.58,TRUE,NA
"mckieaa01",2003,30,3,"PHI","NBA","SF",80,2374,4.5,5.2,0,0.09,0.88,0.03,0,0,213.66,2089.12,71.22,0,"SF",2.94,TRUE,NA
"mckieaa01",2004,31,4,"PHI","NBA","SF",75,2112,-1.3,2.8,0,0.26,0.7,0.03,0,0,549.12,1478.4,63.36,0,"SF",2.74,TRUE,NA
"mckieaa01",2005,32,5,"PHI","NBA","SG",68,1118,0.3,1.6,0.08,0.9,0.02,0,0,89.44,1006.2,22.36,0,0,"SG",1.94,TRUE,"Wing"
"mckieaa01",2006,33,6,"LAL","NBA","PG",14,121,-11.2,-14.1,0.69,0.31,0,0,0,83.49,37.51,0,0,0,"PG",1.31,TRUE,"Guard"
"mckieaa01",2007,34,7,"LAL","NBA","SF",10,131,-4.4,-4.4,0,0.08,0.8,0.12,0,0,10.48,104.8,15.72,0,"SF",3.04,TRUE,"Wing"
"williaa01",2001,29,1,"NJN","NBA","PF",82,2336,-8.6,-7,0,0,0.06,0.68,0.26,0,0,140.16,1588.48,607.36,"PF",4.2,TRUE,NA
"williaa01",2002,30,2,"NJN","NBA","PF",82,1546,4.1,-0.4,0,0,0.05,0.76,0.2,0,0,77.3,1174.96,309.2,"PF",4.19,TRUE,NA
"williaa01",2003,31,3,"NJN","NBA","C",81,1597,1.6,-7.2,0,0,0,0.09,0.91,0,0,0,143.73,1453.27,"C",4.91,TRUE,NA
"williaa01",2004,32,4,"NJN","NBA","C",72,1337,-2,-7.3,0,0,0,0.14,0.86,0,0,0,187.18,1149.82,"C",4.86,TRUE,NA
"williaa01",2005,33,5,"TOT","NBA","C",42,315,-20.9,-20.1,0,0,0,0.27,0.72,0,0,0,85.05,226.8,"C",4.68,TRUE,"Big"
"williaa01",2006,34,6,"TOT","NBA","C",48,791,-3.5,-0.2,0,0,0,0.49,0.52,0,0,0,387.59,411.32,"C",4.56,TRUE,"Big"
