"bbref_id","season","salary","contract_type","salary_prop_cap"
"abdursh01",1997,2186000,"past",0.0897262241924229
"abdursh01",2000,9e+06,"past",0.264705882352941
"abdursh01",2001,10130000,"past",0.285352112676056
"abdursh01",2002,11250000,"past",0.264705882352941
"abdursh01",2003,12375000,"past",0.307293089319858
"abdursh01",2004,13500000,"past",0.30793795620438
"abdursh01",2005,14625000,"past",0.333371324367449
"abdursh01",2006,5e+06,"past",0.101010101010101
"abdursh01",2007,5400000,"past",0.10162792886045
"abdursh01",2008,5800000,"past",0.104260291209779
"abdursh01",2010,6600000,"past",0.114384748700173
"abrinal01",2017,5994764,"past",0.0636772144503574
"abrinal01",2018,5725000,"past",0.0577740102731777
"abrinal01",2019,5455236,"regular",0.0535514827867163
"ackeral01",2006,398762,"past",0.00805579797979798
"ackeral01",2007,839209,"past",0.0157939023242684
"ackeral01",2009,711517,"past",0.0121253749147921
"acyqu01",2013,665000,"past",0.011456825856247
"acyqu01",2014,788872,"past",0.013443855553094
"acyqu01",2015,915243,"past",0.0145126932529929
"acyqu01",2016,981348,"past",0.0140192571428571
"acyqu01",2017,2965505,"past",0.0315000053110693
"acyqu01",2018,1709538,"past",0.0172518543186703
"acyqu01",2019,213949,"regular",0.00210023657835063
"adamsha01",2007,412718,"past",0.00776734732285687
"adamsha01",2009,297163,"past",0.00506412747102931
"adamsja01",2019,236854,"regular",0.00232508417673679
"adamsja01",2020,1e+05,"regular",0.000917431192660551
"adamsjo01",2015,1344120,"past",0.021313248235947
"adamsjo01",2016,1404600,"past",0.0200657142857143
"adamsjo01",2017,1465080,"past",0.0155622829100411
"adamsst01",2014,2090880,"past",0.0356325090747968
"adamsst01",2015,2184960,"past",0.0346461587251249
"adamsst01",2016,2279040,"past",0.0325577142857143
"adamsst01",2017,3140517,"past",0.0333590070424779
"adamsst01",2018,22471910,"past",0.226775957938502
"adamsst01",2019,24157304,"regular",0.237140877008707
"adamsst01",2020,25842697,"regular",0.237088963302752
"adamsst01",2021,27528090,"regular",0.237311120689655
"adebaba01",2018,2490360,"past",0.0251315430958796
"adebaba01",2019,2955840,"regular",0.0290160892911484
"adebaba01",2020,3454080,"regular",0.0316888073394495
"adebaba01",2021,5115492,"team_option",0.0440990689655172
"adrieje01",2011,342666,"past",0.00590355592309283
"adrieje01",2012,270427,"past",0.00465900006891324
"adrieje01",2013,804131,"past",0.0138538177933981
"adrieje01",2014,916099,"past",0.0156120417866698
"adrieje01",2015,981084,"past",0.0155567113295806
"afflaar01",2008,944520,"past",0.0169786086643897
"afflaar01",2009,1015440,"past",0.0173047034764826
"afflaar01",2010,1086240,"past",0.0188256499133449
"afflaar01",2011,1959577,"past",0.0337601991592585
"afflaar01",2012,7562500,"past",0.130289091034388
"afflaar01",2013,7750000,"past",0.133519399076563
"afflaar01",2014,7312500,"past",0.124618688116703
"afflaar01",2015,7750000,"past",0.12288908269246
"afflaar01",2016,8e+06,"past",0.114285714285714
"afflaar01",2017,12500000,"past",0.132776733267476
"afflaar01",2018,2971382,"past",0.0299857911255084
"agerma01",2007,906480,"past",0.0170599416580408
"agerma01",2008,974400,"past",0.0175157289232429
"agerma01",2009,1042440,"past",0.0177648261758691
"agerma01",2011,83305,"past",0.00143520432775136
"ahearbl01",2009,125562,"past",0.00213977505112474
"ajincal01",2009,1276320,"past",0.0217505112474438
"ajincal01",2010,1372080,"past",0.0237795493934142
"ajincal01",2011,1467840,"past",0.0252884019020054
"ajincal01",2015,981084,"past",0.0155567113295806
"ajincal01",2016,4300000,"past",0.0614285714285714
"ajincal01",2017,4600000,"past",0.0488618378424312
"ajincal01",2018,4961798,"past",0.0500721342577175
"ajincal01",2019,5285394,"regular",0.051884223856129
"akognjo01",2014,788872,"past",0.013443855553094
"alabiso01",2011,770000,"past",0.0132657983598649
"alabiso01",2012,830000,"past",0.0142994969333609
"aldemfu01",2015,3e+06,"past",0.0475699674938555
"aldemfu01",2016,3e+06,"past",0.0428571428571429
"aldrico01",2011,2126520,"past",0.0366363448418441
"aldrico01",2012,2286000,"past",0.0393839156501964
"aldrico01",2013,2445480,"past",0.0421314864585487
"aldrico01",2015,981084,"past",0.0155567113295806
"aldrico01",2016,1100600,"past",0.0157228571428571
"aldrico01",2017,7643979,"past",0.0811954048628151
"aldrico01",2018,7300000,"past",0.0736681703046633
"aldrico01",2019,685341,"regular",0.00672766985049426
"aldrico01",2020,685340,"regular",0.00628752293577982
"aldrico01",2021,685340,"regular",0.00590810344827586
"aldrila01",2007,4027320,"past",0.0757941093441235
"aldrila01",2008,4329360,"past",0.0778241955779256
"aldrila01",2009,4631400,"past",0.0789263803680982
"aldrila01",2010,5844827,"past",0.101296828422877
"aldrila01",2011,11244000,"past",0.193715112673145
"aldrila01",2012,12372000,"past",0.213148645854869
"aldrila01",2013,13500000,"past",0.232582179036593
"aldrila01",2014,14128000,"past",0.240767565909439
"aldrila01",2015,16006000,"past",0.253801633235551
"aldrila01",2016,19500000,"past",0.278571428571429
"aldrila01",2017,20575005,"past",0.218550556068959
"aldrila01",2018,21461010,"past",0.216574430080833
"aldrila01",2019,22347015,"regular",0.219370122412118
"aldrila01",2020,2.6e+07,"regular",0.238532110091743
"aldrila01",2021,2.4e+07,"regular",0.206896551724138
"alexacl01",2016,525093,"past",0.00750132857142857
"alexacl01",2017,51449,"past",0.00054649841199027
"alexaco01",1996,490000,"past",0.021304347826087
"alexaco01",1997,521000,"past",0.0213848869186882
"alexaco01",1998,562380,"past",0.0209063197026022
"alexaco01",2000,1980000,"past",0.0582352941176471
"alexaco01",2001,2160000,"past",0.0608450704225352
"alexaco01",2002,1995741,"past",0.0469586117647059
"alexaco01",2003,2149259,"past",0.0533698939683643
"alexaco01",2004,2302778,"past",0.0525268704379562
"alexajo01",2009,2403120,"past",0.0409529652351738
"alexajo01",2010,2583360,"past",0.0447722703639515
"alexajo01",2011,90465,"past",0.00155855902418855
"allengr01",2019,2074320,"regular",0.0203626225839068
"allengr01",2020,2429400,"regular",0.0222880733944954
"allengr01",2021,2545320,"team_option",0.0219424137931034
"allengr01",2022,4054695,"team_option",NA
"allenja01",2018,1713720,"past",0.0172940570978778
"allenja01",2019,2034120,"regular",0.0199679981152264
"allenja01",2020,2376840,"regular",0.021805871559633
"allenja01",2021,3909902,"team_option",0.0337060517241379
"allenka01",2018,NA,"past",NA
"allenla01",2012,473604,"past",0.00815939632003308
"allenla01",2013,3e+06,"past",0.0516849286747984
"allenla01",2014,3060000,"past",0.0521481279503741
"allenla01",2015,948163,"past",0.0150346943629589
"allenla01",2016,3700000,"past",0.0528571428571429
"allenla01",2017,4e+06,"past",0.0424885546455923
"allenma01",2002,332817,"past",0.00783098823529412
"allenma01",2003,512435,"past",0.0127246653919694
"allenma01",2004,1510000,"past",0.0344434306569343
"allenma01",2005,1950625,"past",0.0444637565534534
"allenma01",2006,1670000,"past",0.0337373737373737
"allenma01",2007,1803600,"past",0.0339437282393902
"allenma01",2008,998398,"past",0.0179471148660795
"allenma01",2009,1300000,"past",0.0221540558963872
"allenma01",2010,1300000,"past",0.0225303292894281
"allenma01",2011,1229255,"past",0.0211779856660464
"allenra02",1997,1785000,"past",0.0732668390592292
"allenra02",1998,2052360,"past",0.0762959107806691
"allenra02",1999,2320000,"past",0.0773333333333333
"allenra02",2000,9e+06,"past",0.264705882352941
"allenra02",2001,10130000,"past",0.285352112676056
"allenra02",2002,11250000,"past",0.264705882352941
"allenra02",2003,12375000,"past",0.307293089319858
"allenra02",2004,13500000,"past",0.30793795620438
"allenra02",2005,14625000,"past",0.333371324367449
"allenra02",2006,13223140,"past",0.267134141414141
"allenra02",2007,14611570,"past",0.274989554907312
"allenra02",2008,1.6e+07,"past",0.287614596440769
"allenra02",2009,18388430,"past",0.313367927743695
"allenra02",2010,18776860,"past",0.325422183708839
"allenra02",2011,1e+07,"past",0.172283095582661
"allenra02",2012,1e+07,"past",0.172283095582661
"allenra02",2013,3090000,"past",0.0532354765350424
"allenra02",2014,3229050,"past",0.055029056391554
"allento01",2005,901920,"past",0.0205589240939138
"allento01",2006,969696,"past",0.0195898181818182
"allento01",2007,1037280,"past",0.0195215959348828
"allento01",2008,1868141,"past",0.033581538738091
"allento01",2009,2500000,"past",0.0426039536468984
"allento01",2010,2500000,"past",0.0433275563258232
"allento01",2011,3e+06,"past",0.0516849286747984
"allento01",2012,3150000,"past",0.0542691751085383
"allento01",2013,3300000,"past",0.0568534215422783
"allento01",2014,4494382,"past",0.0765926822202151
"allento01",2015,4831461,"past",0.0766108142392769
"allento01",2016,5168539,"past",0.0738362714285714
"allento01",2017,5505618,"past",0.0584814378126892
"allento01",2018,1471382,"past",0.0148484958574269
"almonmo01",2008,1005960,"past",0.0180830487147223
"almonmo01",2009,1081440,"past",0.0184294478527607
"alstora01",2000,301875,"past",0.00887867647058824
"alstora01",2001,423500,"past",0.0119295774647887
"alstora01",2002,625000,"past",0.0147058823529412
"alstora01",2003,37344,"past",0.000927317424449356
"alstora01",2004,688679,"past",0.0157089187956204
"alstora01",2005,3500000,"past",0.0797811716434921
"alstora01",2006,3850000,"past",0.0777777777777778
"alstora01",2007,4200000,"past",0.0790439446692387
"alstora01",2008,4550000,"past",0.0817904008628438
"alstora01",2009,4900000,"past",0.0835037491479209
"alstora01",2010,5053133,"past",0.0875759618717504
"aminual01",2011,2563320,"past",0.0441616704568948
"aminual01",2012,2755560,"past",0.0474736406863758
"aminual01",2013,2947800,"past",0.0507856109158569
"aminual01",2014,3700000,"past",0.0630549259530667
"aminual01",2015,981084,"past",0.0155567113295806
"aminual01",2016,7500000,"past",0.107142857142857
"aminual01",2017,7680965,"past",0.0815882752833455
"aminual01",2018,7319035,"past",0.0738602625816153
"aminual01",2019,6957105,"regular",0.0682946234870275
"aminual01",2020,9258000,"regular",0.0849357798165138
"aminual01",2021,9720900,"regular",0.0838008620689655
"aminual01",2022,10183800,"player_option",NA
"amundlo01",2007,215928,"past",0.00406376211536652
"amundlo01",2008,687456,"past",0.0123576487506741
"amundlo01",2009,797581,"past",0.0135920415814588
"amundlo01",2010,855189,"past",0.0148212998266898
"amundlo01",2011,2225000,"past",0.0383329887671422
"amundlo01",2012,2403000,"past",0.0413996278685135
"amundlo01",2013,1069509,"past",0.0184258321273517
"amundlo01",2015,409167,"past",0.00648802029651946
"amundlo01",2016,1650000,"past",0.0235714285714286
"amundlo01",2017,1551659,"past",0.0164819370532063
"anderal01",2006,398762,"past",0.00805579797979798
"anderal01",2007,102131,"past",0.00192210407452715
"anderal01",2013,885120,"past",0.0152491213562125
"anderal01",2014,947907,"past",0.0161541096474037
"anderal01",2015,1276061,"past",0.0202340600967256
"anderal01",2016,4e+06,"past",0.0571428571428571
"anderal01",2017,1315448,"past",0.0139728710578588
"anderch01",2002,288171,"past",0.00678049411764706
"anderch01",2003,512435,"past",0.0127246653919694
"anderch01",2004,638679,"past",0.0145684078467153
"anderch01",2005,1600000,"past",0.0364713927513107
"anderch01",2006,3500000,"past",0.0707070707070707
"anderch01",2009,998398,"past",0.0170142808452624
"anderch01",2010,3650000,"past",0.0632582322357019
"anderch01",2011,4533300,"past",0.0781010957204879
"anderch01",2012,4234000,"past",0.0729446626696988
"anderch01",2013,5225952,"past",0.0900343187926401
"anderch01",2014,1399507,"past",0.0238502189880536
"anderch01",2015,5375000,"past",0.0852295250931579
"anderch01",2016,5e+06,"past",0.0714285714285714
"anderch01",2017,1551659,"past",0.0164819370532063
"anderda03",2010,2300000,"past",0.0398613518197574
"anderda03",2011,2500000,"past",0.0430707738956654
"anderde01",1998,1107240,"past",0.0411613382899628
"anderde01",1999,1273000,"past",0.0424333333333333
"anderde01",2000,1439400,"past",0.0423352941176471
"anderde01",2001,2250000,"past",0.0633802816901408
