RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,OPP_FG%,OPP_AVERAGE_DISTANCE,OPP_%FGA_2P,OPP_%FGA_0-3,OPP_%FGA_3-10,OPP_%FGA_10-16,OPP_FGA_16-3PT,OPP_%FGA_3P,OPP_FG%_2P,OPP_FG%_0-3,OPP_FG%_3-10,OPP_FG%_10-16,OPP_FG%_16-3PT,OPP_FG%_3P,OPP_%ASTD_2P,OPP_%FGA_DUNKS,OPP_DUNKS_MADE,OPP_%FGA_LAYUPS,OPP_LAYUPS_MADE,OPP_%ASTD_3P,OPP_%FGA3P_CORNER,OPP_FG%3_CORNER
1.0,2004-2005,Atlanta Hawks,0,82,19855,0.47600000000000003,11.4,0.807,0.33399999999999996,0.13,0.14300000000000002,0.201,0.193,0.5,0.609,0.436,0.384,0.441,0.379,0.546,0.063,385,0.25,827,0.846,0.28800000000000003,0.434
2.0,2004-2005,Boston Celtics,1,82,19880,0.444,12.1,0.794,0.332,0.11800000000000001,0.121,0.22399999999999998,0.20600000000000002,0.467,0.599,0.355,0.373,0.381,0.35600000000000004,0.583,0.055999999999999994,353,0.259,891,0.857,0.293,0.38799999999999996
3.0,2004-2005,Charlotte Bobcats,0,82,19880,0.46299999999999997,11.4,0.812,0.348,0.127,0.11599999999999999,0.222,0.188,0.48700000000000004,0.594,0.381,0.41100000000000003,0.42,0.361,0.539,0.066,383,0.253,851,0.86,0.293,0.418
4.0,2004-2005,Chicago Bulls,1,82,19830,0.42200000000000004,12.7,0.81,0.29,0.10400000000000001,0.146,0.27,0.19,0.44299999999999995,0.551,0.391,0.37799999999999995,0.381,0.33399999999999996,0.569,0.040999999999999995,239,0.23,745,0.9109999999999999,0.289,0.353
5.0,2004-2005,Cleveland Cavaliers,0,82,19855,0.452,11.6,0.826,0.315,0.14300000000000002,0.142,0.226,0.174,0.46799999999999997,0.589,0.348,0.389,0.425,0.376,0.552,0.055999999999999994,337,0.235,788,0.855,0.261,0.43
6.0,2004-2005,Dallas Mavericks,1,82,19730,0.43799999999999994,11.9,0.7959999999999999,0.319,0.138,0.12,0.21899999999999997,0.204,0.466,0.593,0.369,0.376,0.39,0.33,0.536,0.052000000000000005,318,0.24600000000000002,854,0.843,0.28800000000000003,0.382
7.0,2004-2005,Denver Nuggets,1,82,19755,0.447,12.3,0.797,0.305,0.13,0.11,0.252,0.203,0.47200000000000003,0.608,0.40299999999999997,0.39399999999999996,0.379,0.345,0.555,0.05,305,0.22899999999999998,826,0.857,0.28800000000000003,0.35100000000000003
8.0,2004-2005,Detroit Pistons,1,82,19955,0.43,12.1,0.813,0.319,0.105,0.134,0.255,0.187,0.451,0.562,0.371,0.376,0.384,0.33799999999999997,0.542,0.045,273,0.251,811,0.7979999999999999,0.28800000000000003,0.335
9.0,2004-2005,Golden State Warriors,0,82,19905,0.45799999999999996,11.8,0.8190000000000001,0.282,0.18899999999999997,0.124,0.22399999999999998,0.18100000000000002,0.479,0.6509999999999999,0.349,0.395,0.419,0.363,0.544,0.045,292,0.22399999999999998,903,0.887,0.264,0.39399999999999996
10.0,2004-2005,Houston Rockets,1,82,19855,0.423,13.2,0.7909999999999999,0.257,0.128,0.136,0.271,0.209,0.446,0.561,0.38799999999999996,0.402,0.387,0.33799999999999997,0.568,0.043,244,0.198,634,0.903,0.23399999999999999,0.392
