RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
1,San Antonio Spurs,2004-2005,W,SW,59,23,0.72,7.8,108.45,99.59,8.85,7.84,108.18,99.31,8.87
2,Phoenix Suns,2004-2005,W,P,62,20,0.7559999999999999,7.12,115.01,107.53,7.49,7.08,115.06,107.63,7.43
3,Dallas Mavericks,2004-2005,W,SW,58,24,0.7070000000000001,5.74,111.32,104.88,6.44,5.85,111.3,104.76,6.55
4,Miami Heat,2004-2005,E,SE,59,23,0.72,6.52,111.08,103.74,7.33,5.76,110.81,104.31,6.5
5,Houston Rockets,2004-2005,W,SW,51,31,0.622,4.04,107.03,102.57,4.46,4.26,106.85,102.15,4.7
6,Detroit Pistons,2004-2005,E,C,54,28,0.659,3.87,106.49,102.07,4.42,3.31,106.19,102.38,3.81
7,Seattle SuperSonics,2004-2005,W,NW,52,30,0.634,2.29,113.09,110.41,2.68,2.59,113.33,110.34,2.99
8,Memphis Grizzlies,2004-2005,W,SW,45,37,0.5489999999999999,2.29,106.5,103.89,2.61,2.63,106.57,103.6,2.97
9,Sacramento Kings,2004-2005,W,P,50,32,0.61,2.16,111.02,108.76,2.26,2.55,111.16,108.46,2.7
10,Denver Nuggets,2004-2005,W,NW,49,33,0.598,2.02,106.6,104.67,1.93,2.22,106.49,104.34,2.15
11,Minnesota Timberwolves,2004-2005,W,NW,44,38,0.537,1.45,108.99,107.35,1.64,1.73,108.98,107.05,1.93
12,Chicago Bulls,2004-2005,E,C,47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69
13,Indiana Pacers,2004-2005,E,C,44,38,0.537,0.76,106.46,105.55,0.91,0.49,106.47,105.85,0.62
14,Boston Celtics,2004-2005,E,A,45,37,0.5489999999999999,0.87,108.31,107.4,0.91,0.34,108.27,107.92,0.35
15,Cleveland Cavaliers,2004-2005,E,C,42,40,0.512,0.79,107.58,106.68,0.89,0.27,107.5,107.17,0.33
16,Los Angeles Clippers,2004-2005,W,P,37,45,0.451,-0.77,106.76,107.5,-0.74,-0.47,106.78,107.2,-0.43
17,Washington Wizards,2004-2005,E,SE,45,37,0.5489999999999999,-0.33,107.94,108.32,-0.38,-0.72,107.91,108.7,-0.79
