RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES
1.0,2004-2005,Atlanta Hawks,0,82,19855,0.441,10.4,0.8540000000000001,0.371,0.141,0.139,0.204,0.146,0.46299999999999997,0.579,0.341,0.331,0.426,0.312,0.511,0.055999999999999994,354,0.289,985,0.872,0.265,0.295,16.0,0.0
2.0,2004-2005,Boston Celtics,1,82,19880,0.46799999999999997,11.3,0.8079999999999999,0.364,0.11900000000000001,0.113,0.212,0.192,0.496,0.614,0.36,0.379,0.433,0.349,0.5429999999999999,0.049,305,0.29600000000000004,1065,0.899,0.29600000000000004,0.381,12.0,0.0
3.0,2004-2005,Charlotte Bobcats,0,82,19880,0.43200000000000005,11.7,0.872,0.284,0.149,0.145,0.294,0.128,0.442,0.574,0.375,0.35100000000000003,0.392,0.363,0.57,0.036000000000000004,232,0.223,791,0.903,0.344,0.413,6.0,0.0
4.0,2004-2005,Chicago Bulls,1,82,19830,0.43200000000000005,12.3,0.7829999999999999,0.297,0.14400000000000002,0.128,0.214,0.217,0.45299999999999996,0.5660000000000001,0.374,0.36700000000000005,0.401,0.35700000000000004,0.569,0.044000000000000004,272,0.22899999999999998,743,0.8059999999999999,0.23399999999999999,0.402,5.0,0.0
5.0,2004-2005,Cleveland Cavaliers,0,82,19855,0.447,11.2,0.865,0.312,0.161,0.159,0.233,0.135,0.465,0.609,0.402,0.358,0.39,0.332,0.599,0.055999999999999994,352,0.217,765,0.797,0.292,0.36,4.0,0.0
6.0,2004-2005,Dallas Mavericks,1,82,19730,0.457,12.3,0.81,0.287,0.132,0.14800000000000002,0.243,0.19,0.479,0.594,0.44,0.39899999999999997,0.413,0.364,0.47200000000000003,0.046,287,0.21899999999999997,756,0.8340000000000001,0.242,0.37,20.0,0.0
7.0,2004-2005,Denver Nuggets,1,82,19755,0.45899999999999996,11.1,0.858,0.364,0.102,0.11699999999999999,0.27399999999999997,0.142,0.479,0.627,0.36,0.36,0.377,0.34,0.617,0.083,499,0.261,955,0.878,0.304,0.39899999999999997,23.0,0.0
8.0,2004-2005,Detroit Pistons,1,82,19955,0.444,11.5,0.836,0.321,0.11699999999999999,0.183,0.215,0.16399999999999998,0.46299999999999997,0.5760000000000001,0.39299999999999996,0.413,0.377,0.345,0.5920000000000001,0.066,379,0.225,723,0.865,0.273,0.355,8.0,0.0
9.0,2004-2005,Golden State Warriors,0,82,19905,0.43,13.3,0.748,0.254,0.155,0.092,0.248,0.252,0.457,0.642,0.32799999999999996,0.364,0.382,0.35200000000000004,0.542,0.040999999999999995,270,0.201,825,0.8140000000000001,0.24600000000000002,0.358,10.0,0.0
10.0,2004-2005,Houston Rockets,1,82,19855,0.44299999999999995,13.4,0.763,0.254,0.134,0.11900000000000001,0.256,0.237,0.46799999999999997,0.59,0.435,0.39399999999999996,0.39899999999999997,0.364,0.561,0.045,251,0.188,635,0.8079999999999999,0.27699999999999997,0.391,11.0,0.0
11.0,2004-2005,Indiana Pacers,1,82,19905,0.43200000000000005,13.2,0.745,0.27,0.14,0.13699999999999998,0.19899999999999998,0.255,0.46299999999999997,0.5820000000000001,0.40700000000000003,0.397,0.384,0.344,0.48100000000000004,0.036000000000000004,203,0.213,663,0.86,0.272,0.40299999999999997,10.0,0.0
12.0,2004-2005,Los Angeles Clippers,0,82,20030,0.45899999999999996,11.4,0.895,0.298,0.151,0.156,0.29,0.105,0.473,0.59,0.449,0.397,0.405,0.345,0.632,0.052000000000000005,305,0.22899999999999998,750,0.861,0.302,0.41100000000000003,13.0,0.0
13.0,2004-2005,Los Angeles Lakers,0,82,19780,0.43700000000000006,12.7,0.727,0.32899999999999996,0.11800000000000001,0.092,0.188,0.273,0.467,0.562,0.41100000000000003,0.377,0.382,0.355,0.491,0.045,269,0.255,857,0.88,0.25,0.35200000000000004,29.0,0.0
14.0,2004-2005,Memphis Grizzlies,1,82,19705,0.447,11.4,0.763,0.354,0.145,0.08900000000000001,0.17600000000000002,0.237,0.475,0.578,0.38799999999999996,0.369,0.39,0.35700000000000004,0.546,0.065,358,0.26899999999999996,861,0.8959999999999999,0.31,0.369,15.0,0.0
15.0,2004-2005,Miami Heat,1,82,19980,0.486,11.5,0.802,0.336,0.13699999999999998,0.111,0.218,0.198,0.513,0.652,0.423,0.376,0.42700000000000005,0.377,0.528,0.084,499,0.23,838,0.855,0.255,0.374,7.0,1.0
16.0,2004-2005,Milwaukee Bucks,0,82,19780,0.45,11.1,0.8590000000000001,0.331,0.128,0.177,0.22399999999999998,0.141,0.467,0.5579999999999999,0.395,0.41200000000000003,0.41600000000000004,0.35100000000000003,0.5429999999999999,0.044000000000000004,261,0.261,872,0.88,0.266,0.37,8.0,0.0
17.0,2004-2005,Minnesota Timberwolves,0,82,19755,0.45899999999999996,13.2,0.8270000000000001,0.225,0.138,0.18,0.285,0.17300000000000001,0.483,0.618,0.435,0.426,0.436,0.345,0.593,0.03,181,0.17300000000000001,656,0.8759999999999999,0.21100000000000002,0.38799999999999996,13.0,0.0
18.0,2004-2005,New Jersey Nets,1,82,19905,0.429,12.9,0.813,0.276,0.11800000000000001,0.11900000000000001,0.299,0.187,0.444,0.5379999999999999,0.402,0.365,0.40700000000000003,0.36200000000000004,0.597,0.038,217,0.217,669,0.89,0.27899999999999997,0.39,12.0,0.0
