Year,Rnd,Pick,Player,Team,Pos,Height,Weight,Age,YOS,Pre-Draft Team
2006,1,1,Andrea Bargnani,Toronto Raptors,PF/C,36708,245,20,10,Universo De'Longhi Treviso (Italy)
2006,1,2,LaMarcus Aldridge,Chicago Bulls,PF/C,43627,260,20,12,Texas
2006,1,3,Adam Morrison,Charlotte Hornets,SF,43624,198,21,4,Gonzaga
2006,1,4,Tyrus Thomas,Portland Trail Blazers,PF/SF,43626,225,19,8,LSU
2006,1,5,Shelden Williams,Atlanta Hawks,PF,43625,250,22,6,Duke
2006,1,6,Brandon Roy,Minnesota Timberwolves,SG/SF,43622,211,21,6,Washington
2006,1,7,Randy Foye,Boston Celtics,SG,43620,218,22,11,Villanova
2006,1,8,Rudy Gay,Houston Rockets,SF,43624,230,19,12,Connecticut
2006,1,9,Patrick O'Bryant,Golden State Warriors,C,36708,250,20,4,Bradley
2006,1,10,Saer Sene,Seattle SuperSonics,C,36708,230,20,3,Voo Wolves Verviers-Pepinster (Belgium)
2006,1,11,J.J. Redick,Orlando Magic,SG,43620,195,22,12,Duke
2006,1,12,Hilton Armstrong,New Orleans Pelicans,PF/C,43627,235,21,6,Connecticut
2006,1,13,Thabo Sefolosha,Philadelphia Sixers,SF/SG,43623,220,22,12,Pallacanestro Biella (Italy)
2006,1,14,Ronnie Brewer,Utah Jazz,SF,43623,235,21,8,Arkansas
2006,1,15,Cedric Simmons,New Orleans Pelicans,FC,43625,235,20,3,NC State
2006,1,16,Rodney Carney,Chicago Bulls,SF,43623,205,22,5,Memphis
2006,1,17,Shawne Williams,Indiana Pacers,SF/PF,43626,230,20,8,Memphis
2006,1,18,Oleksiy Pecherov,Washington Wizards,C,36708,232,20,3,Paris Basket Racing (France)
2006,1,19,Quincy Douby,Sacramento Kings,G,43619,175,22,4,Rutgers
2006,1,20,Renaldo Balkman,New York Knicks,SF/PF,43624,208,21,6,South Carolina
2006,1,21,Rajon Rondo,Phoenix Suns,PG,43617,186,20,12,Kentucky
2006,1,22,Marcus D. Williams,New Jersey Nets,G,43619,205,20,4,Connecticut
2006,1,23,Josh Boone,New Jersey Nets,FC,43626,237,21,4,Connecticut
2006,1,24,Kyle Lowry,Memphis Grizzlies,PG,43617,196,20,12,Villanova
2006,1,25,Shannon Brown,Cleveland Cavaliers,SG,43620,210,20,9,Michigan State
2006,1,26,Jordan Farmar,Los Angeles Lakers,PG,43618,180,19,10,UCLA
2006,1,27,Sergio Rodriguez,Phoenix Suns,PG,43619,176,20,5,Movistar Estudiantes (Spain)
2006,1,28,Maurice Ager,Dallas Mavericks,F-G,43621,202,22,4,Michigan State
2006,1,29,Mardy Collins,New York Knicks,SG,43622,220,21,4,Temple
2006,1,30,Joel Freeland,Portland Trail Blazers,PF,43627,255,19,3,Herbalife Gran Canaria (Spain)
2006,2,31,James White,Portland Trail Blazers,SG/SF,43623,215,23,3,Cincinnati
2006,2,32,Steve Novak,Houston Rockets,PF,43626,225,23,11,Marquette
2006,2,33,Solomon Jones,Atlanta Hawks,PF,43626,230,21,8,South Florida
2006,2,34,Paul Davis,Los Angeles Clippers,FC,43627,270,21,4,Michigan State
2006,2,35,P.J. Tucker,Toronto Raptors,SF,43622,245,21,7,Texas
2006,2,36,Craig Smith,Minnesota Timberwolves,PF,43623,250,22,6,Boston College
2006,2,37,Bobby Jones,Minnesota Timberwolves,F,43623,215,22,2,Washington
2006,2,38,Kosta Perovic,Golden State Warriors,C,43648,240,21,1,KK Partizan (Serbia)
2006,2,39,David Noel,Milwaukee Bucks,SF,43622,230,22,2,North Carolina
2006,2,40,Denham Brown,Seattle SuperSonics,GF,43621,218,23,0,Connecticut
2006,2,41,James Augustine,Orlando Magic,FC,43626,235,22,2,Illinois
2006,2,42,Daniel Gibson,Cleveland Cavaliers,SG/PG,43618,200,20,7,Texas
2006,2,43,Marquinhos Vinicius,New Orleans Pelicans,F,43625,225,22,2,Objetivo Sao Carlos (Brazil)
2006,2,44,Lior Eliyahu,Orlando Magic,PF,43623,225,20,0,Hapoel Galil Gilboa (Israel)
2006,2,45,Alexander Johnson,Indiana Pacers,F,43625,240,23,3,Florida State
2006,2,46,Dee Brown,Utah Jazz,G,36678,185,21,2,Illinois
2006,2,47,Paul Millsap,Utah Jazz,PF/C,43624,246,21,12,Louisiana Tech
2006,2,48,Vladimir Veremeenko,Washington Wizards,PF,43624,229,21,0,Dynamo Saint Petersburg (Russia)
2006,2,49,Leon Powe,Denver Nuggets,F,43624,240,22,5,California
2006,2,50,Ryan Hollins,Charlotte Hornets,C,36708,230,21,10,UCLA
2006,2,51,Cheickh Samb,Los Angeles Lakers,C,43647,245,21,2,WTC Cornella (Spain)
2006,2,52,Guillermo Diaz,Los Angeles Clippers,G,43618,192,21,1,Miami (FL)
2006,2,53,Yotam Halperin,Seattle SuperSonics,SG,43620,210,22,0,Union Olimpija (Slovenia)
2006,2,54,Hassan Adams,New Jersey Nets,G,43620,220,22,2,Arizona
2006,2,55,Ejike Ugboaja,Cleveland Cavaliers,F,43625,225,21,0,Union Bank Lagos (Nigeria)
2006,2,56,Edin Bavcic,Toronto Raptors,C,43624,242,22,0,KK Bosna (Bosnia and Herzegovina)
2006,2,57,Loukas Mavrokefalidis,Minnesota Timberwolves,C,43626,260,21,0,PAOK BC (Greece)
2006,2,58,J.R. Pinnock,Dallas Mavericks,SG,43621,207,22,0,George Washington
2006,2,59,Damir Markota,San Antonio Spurs,PF,43626,260,20,1,KK Cibona (Croatia)
2006,2,60,Will Blalock,Detroit Pistons,G,43617,200,22,1,Iowa State
2007,1,1,Greg Oden,Portland Trail Blazers,C,36708,273,19,6,Ohio State
2007,1,2,Kevin Durant,Seattle SuperSonics,SF/SG,43625,240,18,11,Texas
2007,1,3,Al Horford,Atlanta Hawks,C/PF,43626,245,21,11,Florida
2007,1,4,Mike Conley,Memphis Grizzlies,PG,43617,175,19,11,Ohio State
2007,1,5,Jeff Green,Boston Celtics,PF,43625,235,20,10,Georgetown
2007,1,6,Jianlian Yi,Milwaukee Bucks,F,36708,250,19,5,Guangdong Dongguan (China)
2007,1,7,Corey Brewer,Minnesota Timberwolves,SF,43625,186,21,11,Florida
2007,1,8,Brandan Wright,Charlotte Hornets,C/PF,43626,210,19,11,North Carolina
2007,1,9,Joakim Noah,Chicago Bulls,C/PF,43627,230,22,11,Florida
2007,1,10,Spencer Hawes,Sacramento Kings,C/PF,43647,245,19,10,Washington
2007,1,11,Acie Law,Atlanta Hawks,SG,43619,202,22,4,Texas A&M
2007,1,12,Thaddeus Young,Philadelphia Sixers,PF/SF,43624,221,19,11,Georgia Tech
2007,1,13,Julian Wright,New Orleans Pelicans,F,43624,225,20,4,Kansas
