team_name,bbref_team_id,espn_bbref_team_id,city_name,team_mascot
Atlanta Hawks,ATL,ATL,Atlanta,Hawks
Boston Celtics,BOS,BOS,Boston,Celtics
Brooklyn Nets,BRK,BKN,Brooklyn,Nets
Charlotte Bobcats,CHA,CHA,Charlotte,Bobcats
Charlotte Hornets,CHO,CHA,Charlotte,Hornets
Chicago Bulls,CHI,CHI,Chicago,Bulls
Cleveland Cavaliers,CLE,CLE,Cleveland,Cavaliers
Dallas Mavericks,DAL,DAL,Dallas,Mavericks
Denver Nuggets,DEN,DEN,Denver,Nuggets
Detroit Pistons,DET,DET,Detroit,Pistons
Golden State Warriors,GSW,GS,Golden State,Warriors
Houston Rockets,HOU,HOU,Houston,Rockets
Indiana Pacers,IND,IND,Indiana,Pacers
Los Angeles Clippers,LAC,LAC,Los Angeles,Clippers
Los Angeles Lakers,LAL,LAL,Los Angeles,Lakers
Memphis Grizzlies,MEM,MEM,Memphis,Grizzlies
Miami Heat,MIA,MIA,Miami,Heat
Milwaukee Bucks,MIL,MIL,Milwaukee,Bucks
Minnesota Timberwolves,MIN,MIN,Minnesota,Timberwolves
New Jersey Nets,NJN,NJN,New Jersey,Nets
New Orleans Pelicans,NOP,NO,New Orleans,Pelicans
New York Knicks,NYK,NY,New York,Knicks
Oklahoma City Thunder,OKC,OKC,Oklahoma City,Thunder
Orlando Magic,ORL,ORL,Orlando,Magic
Philadelphia 76ers,PHI,PHI,Philadelphia,76ers
Phoenix Suns,PHO,PHX,Phoenix,Suns
Portland Trail Blazers,POR,POR,Portland,Trail Blazers
Sacramento Kings,SAC,SAC,Sacramento,Kings
San Antonio Spurs,SAS,SA,San Antonio,Spurs
Toronto Raptors,TOR,TOR,Toronto,Raptors
Utah Jazz,UTA,UTAH,Utah,Jazz
Washington Wizards,WAS,WSH,Washington,Wizards
